question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
What certificate does [Pilot_CHI01LA303] have?,Private,private,N/A, private
What is the engine manufacturer associated with [Registration_N5507V]?,Lycoming,lycoming,N/A (The registration number provided is not valid as it contains only five characters. A valid registration number consists of two letters followed by a hyphen and four or five numbers.), ___unknown___enginemanufacturer 
What medical certification does [Pilot_CHI05LA050] have?,Class 3 With Waivers/Limitations,class 3 with waivers/limitations,N/A, ___unknown___medicalcertification
What is the third event associated with [AccidentNumber_CHI98LA089]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_object_-_tree(s,N/A, ___unknown___thirdevent
What caused [AccidentNumber_CHI89FA040]?,ICE/FROSTREMOVALFROMAIRCRAFT|WEATHERCONDITION|DESIGNSTRESSLIMITSOFAIRCRAFT,weathercondition,N/A, ___unknown___causeofaccident
What is the aircraft damage associated with [AccidentNumber_ATL03FA052]?,Destroyed,destroyed,N/A,substantial
What airspace is associated with [AccidentNumber_DFW05CA097]?,ClassE,classe,N/A, ___unknown___airspacetype
What airspace is associated with [AccidentNumber_DEN03LA061]?,ClassG,classg,N/A (There is no information provided about the airspace associated with AccidentNumber_DEN03LA061), ___unknown___airspacetype
What is the airframe total time associated with [Registration_N1933B]?,___Unknown___AirframeTotalTime,___unknown___airframetotaltime,N/A, Unknown
What airspace is associated with [AccidentNumber_NYC05FA026]?,AirportInformation,airportinformation,N/A, ___unknown___airspacetype
What is the first event associated with [AccidentNumber_MIA94LA129]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What is the Visual Flight Rules approach associated with [AccidentNumber_IAD02LA055]?,FullStop;TrafficPattern,fullstop;trafficpattern,What is the Visual Flight Rules approach associated with AccidentNumber_IAD02LA055? - N/A (The accident report does not provide information regarding the specific VFR approach used in the accident.), ___unknown___visualflightrulesapproach 
What flight plan was filed for [AccidentNumber_DEN04FA043]?,IFR,ifr,N/A, IFR
What is the aircraft damage associated with [AccidentNumber_CHI03LA032]?,Substantial,substantial,Substantial damage.,substantial
What is the second event associated with [AccidentNumber_ATL04LA001]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What engine is associated with [Registration_N233TR]?,1Reciprocating,1reciprocating,N/A, Lycoming IO-540-B1A5
What is the engine manufacturer associated with [Registration_N127RB]?,Lycoming,lycoming,N/A (The registration number provided is not a valid registration number for an aircraft), Lycoming
What does [Registration_N421DG] have in terms of an emergency locator transmitter?,"Installed, not activated","installed, not activated",N/A, ___unknown___elt
What is the first event associated with [AccidentNumber_FTW04LA053]?,LOSS_OF_ENGINE_POWER,loss_of_control_-_in_flight,N/A,collision with terrain
What is the seat occupancy associated with [Pilot_CHI03LA143]?,Left,left,N/A,2
What caused [AccidentNumber_LAX04CA222]?,DIRECTIONALCONTROL|LACKOFFAMILIARITYWITHAIRCRAFT|GROUNDLOOP/SWERVE,groundloop/swerve,N/A. There is not enough information provided to determine the cause of the accident., ___unknown___causeofaccident
What instructor rating does [Pilot_ATL02FA058] have?,Airplane Multi-engine; Airplane Single-engine; Instrument Airplane,airplane multi-engine; airplane single-engine; instrument airplane,N/A,instructor-in-flight-test
What is the aircraft manufacturer associated with [Registration_N4606X]?,Cessna,cessna,"N/A (The question is incomplete as Registration_N4606X could refer to any aircraft, and not a specific accident or incident.)", Beechcraft
What is the first event associated with [AccidentNumber_LAX04LA254]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_engine_power(total)_-_mech_fa,N/A (The provided Accident Number is not valid or does not exist in the database),collisionwithterrain
What is the Flight Crew associated with [AccidentNumber_ANC06LA001]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the third event associated with [AccidentNumber_MIA88FA001]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What is the Aircraft Explosion associated with [AccidentNumber_CHI04FA203]?,On-Ground,on-ground,N/A, ___unknown___aircraftexplosion
What does [Registration_N6106V] have in terms of an emergency locator transmitter?,"Installed, activated, did not aid in locating accident","installed, activated, did not aid in locating accident",N/A, ___unknown___elt
What is the engine manufacturer associated with [Registration_N4123R]?,Lycoming,lycoming,N/A, Lycoming
What is the second event associated with [AccidentNumber_FTW93LA079]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_TREE(S),forced_landing,N/A, ___unknown___secondevent 
What is the third event associated with [AccidentNumber_CHI81LA106]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S),hard_landing,N/A, ___unknown___thirdevent
What passanger injury is associated with [AccidentNumber_CHI01LA078]?,1 None,1 none,N/A (There is no AccidentNumber_CHI01LA078 in the prompt given),1 none
What are the conditions at the accident site associated with [AccidentNumber_LAX03FA057]?,Visual Conditions,visual conditions,"N/A (As an AI language model, I don't have the access to accident reports or law enforcement database.)", ___unknown___ataccidentsite
What aircraft category does [Registration_N31BN] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the Visual Flight Rules approach associated with [AccidentNumber_DEN03LA062]?,___Unknown___VisualFlightRulesApproach,fullstop,What is the Visual Flight Rules approach associated with AccidentNumber_DEN03LA062?   approach: Visual approach, ___unknown___visualflightrulesapproach 
What is the crew injury associated with [AccidentNumber_FTW03LA069]?,1 Serious,1 serious,N/A,1 minor
What is the crew injury associated with [AccidentNumber_DEN05LA055]?,2 None,2 none,N/A,"1 minor, 1 none"
What is the engine manufacturer associated with [Registration_N56715]?,Lycoming,lycoming,N/A (There is not enough information to determine the engine manufacturer associated with Registration_N56715), Lycoming
What is the Flight Crew associated with [AccidentNumber_FTW89LA035]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the Flight Crew associated with [AccidentNumber_ATL86FA156]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the first event associated with [AccidentNumber_LAX86LA051]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_control_-_on_ground/water,N/A (insufficient information provided),collisionwithterrain
What medical certification does [Pilot_ATL03LA051] have?,Class 1 Valid Medical--no waivers/lim.,class 1 valid medical--no waivers/lim.,N/A (The medical certification of Pilot_ATL03LA051 is not provided in the given question or context),certifiedflightinstructor
What is the third event associated with [AccidentNumber_IAD98FA032]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent 
What is the Flight Crew associated with [AccidentNumber_ANC03LA016]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What caused [AccidentNumber_ATL84FA111]?,FLIGHTPLANNING/DECISION|DESIGNSTRESSLIMITSOFAIRCRAFT|VFRFLIGHTINTOIMC|PROPERALTITUDE|OVERCONFIDENCEINPERSONALABILITY|LACKOFTOTALINSTRUMENTTIME|AIRSPEED|PREFLIGHTBRIEFINGSERVICE|FLIGHTINTOKNOWNADVERSEWEATHER|AIRCRAFTHANDLING,designstresslimitsofaircraft,N/A, ___unknown___causeofaccident
What is the restraint used associated with [Pilot_CHI04CA113]?,Seatbelt,seatbelt,N/A, ___unknown___restraintused 
What is the third event associated with [AccidentNumber_ANC88LA034]?,MAIN_GEAR_COLLAPSED,in_flight_collision_with_object_-_tree(s,N/A, ___unknown___thirdevent 
What is the lowest cloud condition associated with [AccidentNumber_LAX02LA074]?,Clear,few / 20000 ft agl,N/A (There is no mention of cloud conditions in AccidentNumber_LAX02LA074), ___unknown___cloudcondition
What engine is associated with [Registration_N8547N]?,1Reciprocating,1reciprocating,N/A, Lycoming O-360-A4M
What is the second event associated with [AccidentNumber_ANC03FA106]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,"N/A (The question refers to a specific accident and its associated events, but this information is not provided in the prompt)", ___unknown___secondevent 
What is the second event associated with [AccidentNumber_IAD98LA088]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER,main_gear_collapsed,N/A, ___unknown___secondevent 
What are the conditions at the accident site associated with [AccidentNumber_LAX05FA193]?,Instrument Conditions,instrument conditions,N/A, ___unknown___ataccidentsite
What is the clearance associated with [AccidentNumber_MIA02LA002]?,VFR,vfr,N/A (There is no information given about clearance associated with AccidentNumber_MIA02LA002), ___unknown___clearance
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_SEA88FA054]?,OTHER_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairpersonnel
What is the instrument flight rules approach associated with [AccidentNumber_MIA04LA050]?,___Unknown___InstrumentFlightRulesApproach,___unknown___instrumentflightrulesapproach,N/A (No Accident found with provided Accident Number), ___unknown___instrumentflightrulesapproach
What is the Flight Crew associated with [AccidentNumber_NYC07CA093]?,DUAL_STUDENT|PILOT_IN_COMMAND(CFI),dual_student,N/A (There is no AccidentNumber_NYC07CA093 in the given prompt),pilot-in-command
What does [Registration_N182UA] have in terms of an emergency locator transmitter?,___Unknown___ELT,___unknown___elt,N182UA is equipped with an Emergency Locator Transmitter (ELT)., ___unknown___emergencylocatortransmitter 
What environmental issue caused [AccidentNumber_ATL02LA029]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (There is no mention of any environmental issue in the accident report of AccidentNumber_ATL02LA029), ___unknown___environmentalissue
What is the Flight Crew associated with [AccidentNumber_MIA05CA068]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the total injury associated with [AccidentNumber_ANC03LA017]?,1 None,1 none,N/A,1 none
What engine is associated with [Registration_N60539]?,1Reciprocating,1reciprocating,N/A, Lycoming O-320-E2D
What is the runway surface condition associated with [AccidentNumber_ATL02LA149]?,___Unknown___RunwaySurfaceCondition,___unknown___runwaysurfacecondition,N/A, ___unknown___runwaysurfacecondition
What environmental issue caused [AccidentNumber_ATL03LA022]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A, ___unknown___environmentalissue
What is the Flight Crew associated with [AccidentNumber_ATL88LA208]?,PILOT_IN_COMMAND,pilot_in_command,N/A (There is no AccidentNumber_ATL88LA208 on record),pilot-in-command
What is the Federal Aviation Regulation associated with [AccidentNumber_ATL04CA172]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What medical certification does [Pilot_MIA03LA035] have?,Class 3 Expired,class 3 expired,N/A, ___unknown___medicalcertification
What is the engine model associated with [Registration_N88BM]?,O-320-E2D,o-320-e2d,N/A, Lycoming O-360-A4M
What is the Flight Crew associated with [AccidentNumber_MIA02LA002]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the Flight Crew associated with [AccidentNumber_CHI97LA241]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the Flight Crew associated with [AccidentNumber_MIA89LA143]?,PILOT_IN_COMMAND,pilot_in_command,N/A (There is no information about the Flight Crew in the given Accident Number),pilotincommand
What was the result of the last inspection for [Registration_N985SA]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What is the engine manufacturer associated with [Registration_N3086R]?,Continental,continental,N/A, Lycoming
What is the condition of light associated with [AccidentNumber_FTW03LA069]?,Day,day,N/A, day
What airworthiness certificate does [Registration_N32DS] have?,Experimental,experimental,N/A, ___unknown___airworthinesscertificate
What is the engine manufacturer associated with [Registration_N4123K]?,Continental,continental,N/A, Lycoming
What [instrument rating] does [Pilot_DEN03LA117] have?,Airplane,airplane,N/A, ___unknown___instrumentrating
What caused [AccidentNumber_MIA92GA002]?,FUELCONSUMPTIONCALCULATIONS|FLIGHTPLANNING/DECISION|FLUIDFUEL,fuelconsumptioncalculations,N/A, ___unknown___causeofaccident
What engine is associated with [Registration_N212CF]?,1Reciprocating,1reciprocating,N/A, Lycoming O-360-A4M
What certificate does [Pilot_ANC03LA010] have?,Commercial,commercial,N/A, ___unknown___certificate
What is the airframe total time associated with [Registration_N62269]?,___Unknown___AirframeTotalTime,___unknown___airframetotaltime,N/A, Unknown
What is the second event associated with [AccidentNumber_CHI07CA001]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER,on_ground/water_encounter_with_terrain/water,N/A, ___unknown___secondevent 
What caused [AccidentNumber_SEA96LA037]?,AIRSPEED|OBJECT|LIFTOFF|TERRAINCONDITION,object,N/A, ___unknown___causeofaccident
What was the result of the last inspection for [Registration_N14843]?,Annual,annual,N/A, annual
What is the second event associated with [AccidentNumber_DEN87LA078]?,NOSE_GEAR_COLLAPSED,forced_landing,N/A, ___unknown___secondevent 
What is the aircraft issue that caused [AccidentNumber_NYC02LA090]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A (The given accident number is invalid), ___unknown___aircraftissue
What medical certification does [Pilot_ATL01LA101] have?,Class 3 Valid Medical--w/ waivers/lim.,class 3 valid medical--w/ waivers/lim.,N/A,certifiedinstrumentpilot
What is the second event associated with [AccidentNumber_SEA98LA029]?,FORCED_LANDING,forced_landing,N/A (The question is incomplete without providing information about the first event associated with AccidentNumber_SEA98LA029), ___unknown___secondevent 
What is the landing gear associated with [Registration_N72598]?,Tricycle,tricycle,tricycle fixed landing gear, ___unknown___landinggear
What caused [AccidentNumber_ANC87LA088]?,DIRECTIONALCONTROL|AIRCRAFTHANDLING|TERRAINCONDITION|ABORT,aircrafthandling,N/A, ___unknown___causeofaccident
What is the runway surface type associated with [AccidentNumber_FTW02LA228]?,___Unknown___RunwaySurfaceType,___unknown___runwaysurfacetype,N/A (The provided Accident Number is invalid), ___unknown___runwaysurfacetype
What is the second event associated with [AccidentNumber_NYC96LA118]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What engine is associated with [Registration_N8917H]?,1Reciprocating,1reciprocating,N/A, Lycoming IO-540-B1B5
What is the runway surface condition associated with [AccidentNumber_CHI01LA195]?,___Unknown___RunwaySurfaceCondition,___unknown___runwaysurfacecondition,N/A (The question is incomplete and AccidentNumber_CHI01LA195 information is not available), ___unknown___runwaysurfacecondition
What is the third event associated with [AccidentNumber_CHI95LA113]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What is the aircraft issue that caused [AccidentNumber_FTW01LA045]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A (There is no AccidentNumber_FTW01LA045 in the provided information), ___unknown___aircraftissue
What is the airplane rating associated with [Pilot_LAX02FA038]?,Single-engineLand,single-engineland,N/A, private
What passanger injury is associated with [AccidentNumber_CHI05CA208]?,1 None,1 none,N/A, 1 none
What is the seat occupancy associated with [Pilot_SEA04FA032]?,Left,left,N/A (The accident identification number provided does not exist in the public database),2
What does [Registration_N149CJ] have in terms of an emergency locator transmitter?,"Installed, not activated","installed, not activated",N/A, ___unknown___emergencylocatortransmitter 
What is the third event associated with [AccidentNumber_NYC89LA209]?,NOSE_GEAR_COLLAPSED,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent 
In which country did [AccidentNumber_CHI05CA060] occur?,MI,mi,N/A (The accident number is incomplete or incorrect), ___unknown___country
What is the runway surface type associated with [AccidentNumber_DEN01LA158]?,___Unknown___RunwaySurfaceType,___unknown___runwaysurfacetype,N/A, ___unknown___runwaysurfacetype
What is the second event associated with [AccidentNumber_NYC88DHA01]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What is the Flight Crew associated with [AccidentNumber_SEA07LA118]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot in command
What is the lowest cloud condition associated with [AccidentNumber_IAD05LA051]?,___Unknown___LowestCloudCondition,___unknown___lowestcloudcondition,N/A (There is no information about cloud condition in the available report for AccidentNumber_IAD05LA051), ___unknown___cloudcondition
What certificate does [Pilot_ANC03LA087] have?,Private,private,N/A, ___unknown___certificate
What is the Flight Crew associated with [AccidentNumber_BFO90LA019]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
In which country did [AccidentNumber_FTW03LA034] occur?,TX,tx,N/A (Insufficient information provided to determine the country of occurrence), united states
What is the restraint used associated with [Pilot_LAX01LA231]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A,seatbelt
What was the result of the last inspection for [Registration_N248JT]?,Annual,annual,N/A,100.00%
What is the airplane rating associated with [Pilot_MIA01GA070]?,Single-engineLand,single-engineland,N/A (There is no such identifier or rating as Pilot_MIA01GA070 in aviation), private
What is the Flight Crew associated with [AccidentNumber_ANC01LA131]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the aircraft manufacturer associated with [Registration_N4123K]?,Piper,piper,N/A, Beechcraft
What is the first event associated with [AccidentNumber_FTW96LA158]?,LOSS_OF_ENGINE_POWER,loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What caused [AccidentNumber_BFO86FA038]?,SPATIALDISORIENTATION|JUDGMENT|PROCEDURES/DIRECTIVES|WEATHERCONDITION|FLIGHTPLANNING/DECISION|SELF|IFRPROCEDURE|LACKOFTOTALINSTRUMENTTIME,weathercondition,N/A, ___unknown___causeofaccident
What [instrument rating] does [Pilot_LAX03CA274] have?,Airplane,airplane,N/A (There is no information provided about Pilot_LAX03CA274's instrument rating), ___unknown___instrumentrating
What is the second event associated with [AccidentNumber_SEA96LA001]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S),forced_landing,N/A, ___unknown___secondevent 
What are the operating certificates held by [Registration_N149CJ]?,Flag carrier (121),flag carrier (121),N/A, ___unknown___operatingcertificates
What is the third event associated with [AccidentNumber_NYC89LA143]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER,on_ground/water_encounter_with_terrain/water,N/A (Insufficient information given), ___unknown___thirdevent
What is the third event associated with [AccidentNumber_MIA88FA049]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A (Insufficient information provided to determine the third event associated with AccidentNumber_MIA88FA049), ___unknown___thirdevent
What is the airplane rating associated with [Pilot_CHI01LA255]?,Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,N/A, ___unknown___airplanerating
What is the restraint used associated with [Pilot_FTW02FA222]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A, ___unknown___restraintused 
What is the aircraft manufacturer associated with [Registration_N2652W]?,Mooney,mooney,N/A, Beechcraft
What is the landing gear associated with [Registration_N1811N]?,Tricycle,tricycle,Nose wheel and 2 main landing gears are associated with Registration_N1811N., ___unknown___landinggear
What is the crew injury associated with [AccidentNumber_NYC02FA126]?,1 Fatal,1 fatal,N/A,1 minor
What is the third event associated with [AccidentNumber_NYC07LA021]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_TREE(S),in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent 
What is the first event associated with [AccidentNumber_MKC84LA160]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_control_-_on_ground/water,N/A,collisionwithterrain
What is the aircraft issue that caused [AccidentNumber_DEN03LA148]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A (Insufficient information provided. Please provide more details or context about AccidentNumber_DEN03LA148), ___unknown___aircraftissue
What is the third event associated with [AccidentNumber_DEN01LA080]?,NOSE_OVER,nose_over,N/A, ___unknown___thirdevent 
What does [Registration_N7471C] have in terms of an emergency locator transmitter?,"Installed, not activated","installed, not activated",N/A, ___unknown___elt
What is the Flight Crew associated with [AccidentNumber_SEA04FA032]?,PILOT_IN_COMMAND,pilot_in_command,N/A (Insufficient information provided to determine the accident number),pilot in command
What is the Flight Crew associated with [AccidentNumber_ATL98LA089]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the engine manufacturer associated with [Registration_N444NM]?,Lycoming,lycoming,N/A (Insufficient information provided to determine the answer), Lycoming
What is the total injury associated with [AccidentNumber_ATL04CA108]?,2 None,2 none,N/A,"1 minor, 1 none"
What is the Flight Crew associated with [AccidentNumber_FTW91LA075]?,PILOT_IN_COMMAND,pilot_in_command,N/A.,pilotincommand
What medical certification does [Pilot_LAX02LA245] have?,Class 3 Valid Medical--w/ waivers/lim.,class 2 valid medical--w/ waivers/lim.,N/A, ___unknown___medicalcertification
What airworthiness certificate does [Registration_N195S] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What is the fourth event associated with [AccidentNumber_FTW86LA099]?,NOSE_OVER,nose_over,N/A, ___unknown___fourthevent
What caused [AccidentNumber_NYC87LA216]?,AIRSPEED|SUPERVISION|MANEUVER|STALL/MUSH,directionalcontrol,N/A, ___unknown___causeofaccident
What is the third event associated with [AccidentNumber_IAD97LA056]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent 
What are the conditions at the accident site associated with [AccidentNumber_LAX01LA299]?,Visual Conditions,visual conditions,N/A (No information is provided about the accident conditions at AccidentNumber_LAX01LA299),dry
What is the airplane rating associated with [Pilot_MIA01LA088]?,Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,N/A, multi-engine land
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_LAX99LA293]?,COMPANY_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairpersonnel
What caused [AccidentNumber_FTW93LA028]?,DIRECTIONALCONTROL|STALL/MUSH,stall/mush,N/A, ___unknown___causeofaccident
What is the Federal Aviation Regulation associated with [AccidentNumber_ATL02LA009]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A (The question cannot be answered without additional information), part91generalaviation-personal_flight
What is the second event associated with [AccidentNumber_FTW84FA125]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What is the seat occupancy associated with [Pilot_CHI04LA026]?,Center,center,N/A,2
What medical certification does [Pilot_LAX02LA074] have?,Class 2 Valid Medical--w/ waivers/lim.,class 3 valid medical--w/ waivers/lim.,N/A,certifiedinstrumentpilot
What does [Registration_N633KF] have in terms of an emergency locator transmitter?,___Unknown___ELT,___unknown___elt,N/A, ___unknown___elt
What is the total injury associated with [AccidentNumber_DEN04FA027A]?,1 None,1 none,N/A,"1 fatal, 1 serious, 1 minor"
What is the runway surface condition associated with [AccidentNumber_NYC04CA022]?,Dry,dry,N/A, ___unknown___runwaysurfacecondition
What is the first event associated with [AccidentNumber_NYC86LA028]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION,loss_of_control_-_on_ground/water,N/A (No information is available regarding the first event associated with AccidentNumber_NYC86LA028),collisionwithterrain
What is the Flight Crew associated with [AccidentNumber_FTW01LA001]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot in command
What is the engine model associated with [Registration_N4989A]?,O-470,o-470,N/A, ___unknown___enginemodel
What is the first event associated with [AccidentNumber_MIA87LA065]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_engine_power(total)_-_nonmechanical,N/A (Insufficient information provided to determine the first event associated with the accident number),collisionwithterrain
What is the first event associated with [AccidentNumber_ATL92LA055]?,HARD_LANDING,hard_landing,N/A (No information is available on the first event associated with AccidentNumber_ATL92LA055),collisionwithterrain
What was the result of the last inspection for [Registration_N3525Y]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What is the Federal Aviation Regulation associated with [AccidentNumber_CHI03FA238B]?,Part91GeneralAviation-Business,part91generalaviation-business,N/A, ___unknown___federalaviationregulation
What is the airplane rating associated with [Pilot_NYC02FA126]?,Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,N/A, private
What aircraft category does [Registration_N9199W] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the second event associated with [AccidentNumber_ATL86FA156]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What was the result of the last inspection for [Registration_N51192]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What is the second event associated with [AccidentNumber_NYC85FNC02]?,LOSS_OF_ENGINE_POWER,loss_of_engine_power,N/A, ___unknown___secondevent 
What is the condition of light associated with [AccidentNumber_MIA02FA048]?,___Unknown___ConditionOfLight,___unknown___conditionoflight,N/A, day
What caused [AccidentNumber_SEA06LA112]?,WEATHERCONDITION|TERRAINCONDITION|VFRFLIGHTINTOIMC|DISTANCE/ALTITUDE,object,N/A, ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_MKC85FA120]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_control_-_in_flight,N/A (Insufficient information provided),collisionwithterrain
What is the second event associated with [AccidentNumber_BFO88LA043]?,MAIN_GEAR_COLLAPSED,in_flight_collision_with_terrain/water,N/A, ___unknown___secondevent 
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_MIA03LA139]?,OTHER_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairpersonnel
What is the Flight Crew associated with [AccidentNumber_ATL97FA095]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the Federal Aviation Regulation associated with [AccidentNumber_ANC01LA066]?,Part91GeneralAviation-Business,part91generalaviation-business,"N/A. As an AI language model, I do not have access to current accident reports or their associated Federal Aviation Regulations. Please provide a specific accident report and I can provide the associated regulation.", part91.137
