question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX03LA123],Skid,tailwheel,Retractable tricycle.,tricycle
Which pilots have been involved in the accident of aircraft registered with [Registration_N271EP],Pilot_ATL04LA088,pilot_mia03la086,N/A (There is no record of any accident involving an aircraft registered with Registration_N271EP),pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
What could have contributed to the cause of the accident [AccidentNumber_SEA96TA046],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|CHECK_PILOT|OTHERPERSON|PILOT_IN_COMMAND,pilot_in_command,N/A,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the aircraft model of the registered aircraft involved in [AccidentNumber_DEN05LA019],PA-24-250,206b,N/A (There is no AccidentNumber_DEN05LA019 in the provided dataset),c-46b-2a-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW02FA028],1Reciprocating,2reciprocating,N/A (The accident number provided is not a valid format),turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_LAX02LA076],Beech,cessna,Cessna,craigaircraft.com/aircraft/craig-aircraft-c-a-2-a.html.html.html.html.html.html.html.html.html.html.html.html.
What is the aircraft category of the registered aircraft involved in [AccidentNumber_CHI03LA121],Airplane,airplane,N/A (The given accident number is invalid and cannot be found in the FAA database),turbopropplane:turbopropjet:turbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturb
What could have contributed to the cause of the accident [AccidentNumber_FTW01LA001],OTHER,other,N/A (No accident number provided to answer the question),other_maintenance_personnel_personnel_of_other_aircraft_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_DFW05CA144],Lycoming,alliedsignal,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1a.html.eng.html.eng.engines.turbomeca.com/engines/turbomeca
What could have contributed to the cause of the accident [AccidentNumber_WPR15LA175],Fatigue/wear/corrosion|Failure|Damaged/degraded|Incorrectservice/maintenance,failure,N/A (No information provided in the given accident number about the cause of the accident.),_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI03LA190],___Unknown___AirframeTotalTime,___unknown___airframetotaltime,N/A,1408.0 hours at time of accident.
What was the condition of light when the accident of aircraft registered with [Registration_N75844] occurred,Night/Dark,day,N/A,"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
What could have contributed to the cause of the accident [AccidentNumber_ERA09LA433],ContributedToOutcome|DecisionRelatedToCondition|Response/compensation|EffectOnEquipment|EffectOnOperation,effectonequipment,Pilot's failure to maintain clearance from terrain/obstacles.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ANC03LA016],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ATL04LA114],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_MIA02LA058],Rotax,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1a.html
Where did the accidents with accident of aircraft registered with [Registration_N96LS] occur,TX,ia,N/A,florida
What could have contributed to the cause of the accident [AccidentNumber_ERA14LA418],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|CapabilityExceeded|Notattained/maintained,pilot_in_command,Pilot's failure to maintain clearance from terrain.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_MIA03LA176],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_SEA03LA032],3126 Hours at time of accident,___unknown___airframetotaltime,N/A,1408.0 hours at time of accident.
Which cities have the accidents of the aircraft registered with [Registration_N97996] occurred in,RUTLAND,placerville,N/A - There is no information provided about accidents of aircraft registered with Registration_N97996.,"The accident occurred in the city of chicago,il."
Which pilots have been involved in the accident of aircraft registered with [Registration_N3233M],Pilot_ANC02LA113,pilot_chi03la263,N/A - There are no records of an aircraft registered with Registration_N3233M being involved in an accident.,pilot_chi_chi_04la037a0b0c0b0c0d0d0e0e0e0f0f0f0g0g0h0h0i0i0j
What is the landing gear type of the registered aircraft involved in [AccidentNumber_NYC02LA002],Retractable-Tailwheel,tricycle,"Retractable, tricycle",tricycle
Who is the registered owner of the registered aircraft involved in [AccidentNumber_ANC01LA080],Walter P. Granus,philip d. horton,N/A,The registered owner of the registered aircraft involved in [AccidentNumber_ANC01LA080] is the owner of the registered aircraft.
What is the aircraft model of the registered aircraft involved in [AccidentNumber_LAX01LA068],RotorwayEXEC152,pa-28-161,N/A (The given Accident Number is incorrect or incomplete),c-46b-2a-1b-2b-2d-2e-2f-2g-2h-2i-2j-2k-2l-2m-2n-2o-
What is the engine model of the registered aircraft involved in [AccidentNumber_FTW02FA028],O-320-B2C,ho-360-b1b,N/A,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
Which pilots have been involved in the accident of aircraft registered with [Registration_N1VY],Pilot_MIA01FA206,pilot_lax05ca153,N/A - There are no records of any accidents involving an aircraft registered with the Registration_N1VY.,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_IAD02LA080],Commercial,private,N/A,Private;commercial;flightengineer;flightengineerinstructor;flightengineerinstructorinflightacademy;flightengineerinstructorinflightacademyinflightacademy;flightengineerinstructor
Which cities have the accidents of the aircraft registered with [Registration_N3525Y] occurred in,Hollywood,plank,N/A (No such registration number exists),"denver,colorado"
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL01LA063B],Lycoming,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a2-2a3-2a4-2a5-2a6-2a7-2a
What caused the accident of aircraft registered with [Registration_N29KK],___Unknown___EnvironmentalIssue|___Unknown___AircraftIssue,___unknown___aircraftissue,N/A,unknownpersonnel/equipmentinadequatecondition/maintenancepersonnel/maintenancepersonnel/equipmentinadequatecondition/personnel/personnel/equipmentinadequatecondition/personnel/personnel/personnel/
What is the engine model of the registered aircraft involved in [AccidentNumber_CHI05LA064],IO-520-D,o-320-e2,N/A (The engine model is not mentioned in the accident report),1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_SEA04LA048],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
Which cities have the accidents of the aircraft registered with [Registration_N177BM] occurred in,KINGSALMON,poughkeepsie,N/A (The provided registration number is not valid),"Bakersfield,California;Casper,Wyoming;Denver,Colorado;Fresno,California;LasVegas,Nevada;LosAngeles,California;Phoenix,Arizona;SanDiego,California;Tucson"
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI01LA112],Meyers,piper,N/A (The accident number provided is not valid),craigaircraftinc.com/aircraft/craig-aircraft-inc-c-a-i-craig-aircraft-inc-c-a-i-craig-aircraft-inc
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX05LA253],Tailwheel,tailwheel,Tricycle - Retractable,tricycle
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03LA194],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained"
Where did the accidents with accident of aircraft registered with [Registration_N66VA] occur,WI,tx,N/A (insufficient information provided),florida
What could have contributed to the cause of the accident [AccidentNumber_ATL95LA123],CONTAMINATIONOTHERTHANWATER|OTHER|CONTAMINATIONOTHERTHANWATER,other,Pilot's failure to maintain clearance/separation from trees.,personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_DEN03LA027],Class 2 Valid Medical--w/ waivers/lim.,class 2 valid medical--w/ waivers/lim.,Commercial certificate with airplane single-engine land and instrument airplane ratings.,Medical with waivers/limitations. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No
What is the operator of the registered aircraft involved in [AccidentNumber_SEA04LA001],Lawrence M. Elliam,charles r. miller,N/A (Insufficient information provided),"Cessna Aircraft Company, Inc."
What could have contributed to the cause of the accident [AccidentNumber_CEN11FA259],CapabilityExceeded|NotSpecified|Attain/maintainNotPossible|Notattained/maintained|PILOT_IN_COMMAND,pilot_in_command,"N/A (Insufficient information provided to determine the accident referred to by ""AccidentNumber_CEN11FA259"")",_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
Which cities have the accidents of the aircraft registered with [Registration_N77UA] occurred in,NewBraunfels,wilmington,N/A (no information is given about accidents with Registration_N77UA),"houston,tx;tampa,fl;atlanta,ga;neworleans,la;chicago,il;washington,dc;newyork,ny;baltimore,md;chicago,il;atlanta"
Which cities have the accidents of the aircraft registered with [Registration_N2724R] occurred in,Alton,oso,N/A. The question mentions a specific registration number and doesn't provide any information about accidents involving it.,"bakersfield,ca;chicago,il;dallas,tx;denver,co;detroit,mi;houston,tx;losangeles,ca;memphis,tn;newyork,ny;philadelphia"
What is the operator of the registered aircraft involved in [AccidentNumber_SEA03LA023],Heli-Wood,david j. shear,N/A (Insufficient information provided),"C.J.H. Aviation, Inc."
When was the last inspection of the registered aircraft involved in [AccidentNumber_FTW04LA199],Annual,annual,N/A, ___unknown___lastinspection___aircraftnotinvolvedinaccident___lastinspection___aircraftinvolvedinaccident___noinspection___lastinspection___aircraftinvolvedinaccident___noinspection___lastinspection___air
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_NYC02LA046],___Unknown___EngineManufacturer,lycoming,N/A,turbomeca.com/engines/tmb-2-a20-2a-2b-2c-2d-2e-2f-2g-2h-2i-2j-2k
What could have contributed to the cause of the accident [AccidentNumber_MIA93LA024],OTHER,other,Pilot's inadequate preflight planning/preparation and his failure to maintain altitude.,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ANC05LA021],FlightInstructor;Commercial,private,N/A (The accident number provided is not sufficient to identify a specific aircraft and pilot.),Private;commercial;flightengineer;flightengineerinstructor;flightengineerinstructorinflightacademy;flightengineerinstructorinflightacademyinflightacademy;flightengineerinstructor
When was the last inspection of the registered aircraft involved in [AccidentNumber_NYC04LA151],Annual,annual,N/A, ___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___
What caused the accident of aircraft registered with [Registration_N68414],___Unknown___EnvironmentalIssue|AIRCRAFTCONTROL|___Unknown___AircraftIssue,___unknown___environmentalissue,N/A,unknownpersonnel/equipmentinadequatecondition/maintenancepersonnel/maintenancepersonnel/equipmentinadequatecondition/personnel/personnel/personnel/personnel/personnel/personnel/personnel/person
What could have contributed to the cause of the accident [AccidentNumber_ATL93LA045],GROUNDPERSONNEL|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|OTHER|OTHERPERSON|OTHER,other,Pilot's improper decision making and failure to maintain clearance with terrain.,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the engine model of the registered aircraft involved in [AccidentNumber_MIA02FA037],PT6A-114A,tio-540-j2bd,N/A,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
Which cities have the accidents of the aircraft registered with [Registration_N6245J] occurred in,Easton,wiltz,N/A (There is no aircraft with registration number N6245J in the aviation accident database maintained by National Transportation Safety Board),"denver,colorado"
Which pilots have been involved in the accident of aircraft registered with [Registration_N5006V],Pilot_ANC05CA040,pilot_atl01la063a,N/A,pilot_chi01la068a039a0c1b1b0c1b0c1b0c1b0c1b0c1b0c1b0c1b0c1b
Who is the registered owner of the registered aircraft involved in [AccidentNumber_DEN01LA154],Textron Fi0.0cial Corp.,ohio knox iii,N/A (Insufficient information provided),The registered owner of the registered aircraft involved in [AccidentNumber_DEN01LA154] is the owner of the registered aircraft.
Which cities have the accidents of the aircraft registered with [Registration_N89255] occurred in,Waycross,santafe,N/A (The provided registration number is not valid. There is no record of any accidents involving an aircraft with this registration number.),"bakersfield,ca;chicago,il;dallas,tx;denver,co;detroit,mi;houston,tx;losangeles,ca;memphis,tn;newyork,ny;philadelphia"
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_SEA04LA048],Normal,normal,Standard.,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
What could have contributed to the cause of the accident [AccidentNumber_GAA17CA059],NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND,not_specified,N/A (Insufficient information provided in the question),_unknown_personnel_condition_at_time_of_occurrence_of_accident_of_other_personnel_personnel_management_of_personnel_condition_at_time_of_occurrence_
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA02LA164],Class 1 Valid Medical--w/ waivers/lim.,class 3 valid medical--w/ waivers/lim.,Commercial Pilot's License with a Single Engine Land Rating and Instrument Rating.,Medical with waivers. No waivers in effect.
What could have contributed to the cause of the accident [AccidentNumber_ATL90FA001],PILOT_IN_COMMAND,pilot_in_command,Pilot's loss of control due to spatial disorientation.,personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_
Who is the registered owner of the registered aircraft involved in [AccidentNumber_NYC02LA002],Frank Hammerbacher,harry rich,N/A (The accident number is not valid),"The registered owner of the aircraft involved in accident number LA002LA002 is the owner of the registered aircraft, a corporation. The registered owner of the aircraft involved in accident number LA002LA002 is the owner of the registered aircraft, a corporation."
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI03FA291],Retractable-Tricycle,retractable-tricycle,Retractable tricycle.,tricycle
What could have contributed to the cause of the accident [AccidentNumber_SEA89FA015],PILOT_IN_COMMAND|PILOT_IN_COMMAND|FLIGHTINSTRUCTORONGROUND,other,N/A,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What caused the accident of aircraft registered with [Registration_N2462X],INDUCEDOSCILLATION|FLARE|___Unknown___EnvironmentalIssue|___Unknown___AircraftIssue,___unknown___environmentalissue,N/A,unknownpersonnel/equipmentinadequatecondition/maintenancepersonnel/maintenancepersonnel/equipmentinadequatecondition/personnel/personnel/personnel/personnel/personnel/personnel/personnel/person
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX05FA193],Airplane,airplane,N/A (Insufficient information provided), airplane:single-enginelandicutuglyderivativebarnstormingairplane;single-enginelandicutuglyderivativebarnstormingairplane;single-enginelandicutuglyder
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_LAX05FA193],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ANC01LA039],7519 Hours at time of accident,___unknown___airframetotaltime,N/A,1408.0 hours at time of accident.
What could have contributed to the cause of the accident [AccidentNumber_LAX98FA050],OTHER|OTHER,other,N/A (The accident number provided is invalid or incomplete.),other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
Which cities have the accidents of the aircraft registered with [Registration_N66VA] occurred in,Oshkosh,wilmington,"N/A, as there is no record of an aircraft with the registration number N66VA being involved in any accidents.","houston,tx;tampa,fl;atlanta,ga;neworleans,la;chicago,il;washington,dc;newyork,ny;baltimore,md;chicago,il;atlanta"
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI05LA050],Pratt&Whitney,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1a.html.html.html.html.html.html.html.html.html.html.html.html.html
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_LAX03LA103],1858 Hours as of last inspection,___unknown___airframetotaltime,N/A (The Airframe Total Time information is not present in the given accident report),1408.0 hours at time of accident.
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI01LA306],968-77,d-6444,N/A,3-12-2-8-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL04LA001],1Reciprocating,1reciprocating,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
Which pilots have been involved in the accident of aircraft registered with [Registration_N851CP],Pilot_MIA02LA002,pilot_lax05la109,N/A (There is no record of any accident involving an aircraft with registration number N851CP),"larry j.mccoy,james m.mccoy,james m.mccoy,james m.mccoy,james m.mccoy,james m.mccoy,james"
What is the operating certificate held by the registered aircraft involved in [AccidentNumber_LAX03CA274],Page 3 of 4LAX03CA274,___unknown___operatingcertificatesheld,N/A,commercial air carrier (135)
What is the engine model of the registered aircraft involved in [AccidentNumber_FTW02LA001],IO-470-C(1),o-360-f1a6,N/A,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
Where did the accidents with accident of aircraft registered with [Registration_N956UA] occur,CO,wa,N/A (No accidents have been reported with aircraft registered with Registration_N956UA),"florida,florida"
Which cities have the accidents of the aircraft registered with [Registration_N140V] occurred in,Molino,taylorsville,N/A (No such Registration Number exists in aviation database),"bristol,washington,miami,newark,newyork,atlanta,chicago,houston,sanantonio,dallas,memphis,tampa,orlando,jacksonville,washington,d"
What could have contributed to the cause of the accident [AccidentNumber_FTW02LA044],OTHER,other,N/A (The accident number provided is incomplete or invalid),other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_FTW04FA172],Piper,piper,N/A (Insufficient information provided to determine the registration number and aircraft manufacturer of the involved accident),craigaircraft.com/aircraft/craig-aircraft-c-a-2-0-1/craig-aircraft-c-a-2-0-1-aircraft-manufacturer
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA05LA021],Class 3 With Waivers/Limitations,class 3 valid medical--w/ waivers/lim.,"Commercial pilot with an Airline Transport Pilot certificate, and a first-class medical certificate.",Medical with waivers/limitations. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No
What could have contributed to the cause of the accident [AccidentNumber_SEA08FA005],CHECK_PILOT|OTHERPERSON|PILOT_IN_COMMAND,notspecified,Lack of fuel management by the pilot.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What could have contributed to the cause of the accident [AccidentNumber_LAX82FVM17],OTHER,other,N/A (Information on the accident cause is not provided in the accident identifier code),other_maintenance_personnel_personnel_of_other_aircraft_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_organizations_of_flight_schools
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL04LA032],Normal,normal,Standard,normal;aircraft not required to be registered in Canada;no airworthiness certificates issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued
What could have contributed to the cause of the accident [AccidentNumber_LAX92LA035],OTHER,pilot_in_command,N/A (the accident number does not provide enough information to determine the cause of the accident),other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_aircraft_organizations_of_aircraft_of_other_manufacturers_of_aircraft
What could have contributed to the cause of the accident [AccidentNumber_CEN10LA037],Failure|Incorrectservice/maintenance,failure,Flash fire in the carburetor.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
Which cities have the accidents of the aircraft registered with [Registration_N37065] occurred in,BattleGround,wiltz,"N/A (The registration number provided is not valid, hence it is not possible to determine the cities where accidents have occurred)","bakersfield,ca;chicago,il;dallas,tx;denver,co;detroit,mi;houston,tx;losangeles,ca;memphis,tn;newyork,ny;philadelphia"
What could have contributed to the cause of the accident [AccidentNumber_CEN14LA334],Fatigue/wear/corrosion|Failure|Damaged/degraded|Incorrectservice/maintenance,pilot_in_command,"N/A (the accident number was not specified, thus the cause of the accident is unknown)",_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
Where did the accidents with accident of aircraft registered with [Registration_N4123R] occur,AR,mt,N/A,florida
What could have contributed to the cause of the accident [AccidentNumber_LAX04CA236],PILOT_IN_COMMAND,pilot_in_command,Pilot's failure to maintain clearance from terrain.,other_maintenance_personnel_personnel_management_personnel_personnel_management_personnel_personnel_management_personnel_personnel_management_personnel_personnel_management_personnel_personnel
What caused the accident of aircraft registered with [Registration_N8393F],REASONFOROCCURRENCEUNDETERMINED|___Unknown___EnvironmentalIssue|___Unknown___AircraftIssue,___unknown___aircraftissue,N/A,unknownpersonnel/equipmentinadequatecondition/maintenancepersonnel/maintenancepersonnel/equipmentinadequatecondition/personnel/personnel/personnel/personnel/personnel/personnel/personnel/person
What could have contributed to the cause of the accident [AccidentNumber_CEN09LA403],Fatigue/wear/corrosion|Failure,failure,Pilot's failure to maintain clearance from obstacles during climb.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What was the condition of light when the accident of aircraft registered with [Registration_N89255] occurred,Day,day,N/A,"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_CHI04LA097],Student,private,N/A,Private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;
When was the last inspection of the registered aircraft involved in [AccidentNumber_CHI01LA060],Annual,annual,N/A, ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_CHI02LA024],Normal,normal,Standard,normal;aircraft not required to be registered in Canada;no airworthiness certificates issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_SEA04LA152],Experimental,normal,N/A,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
